Annotation Cluster 1,Enrichment Score: 21.955114230601968,,,,,,,,,,,
Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_BP_FAT,GO:0007049~cell cycle,364,15.83986075,3.40E-60,"KIFC1, RAD51C, EDN1, AURKA, PTTG1, AURKB, ANKLE1, SHB, CDCA8, ATP2B4, HMCN1, DDX11, CTGF, INTS7, WDR76, INCENP, CDCA2, RARA, H2AFX, CCNA2, STAG2, CDCA3, STAG1, PTPRK, LIG1, POLE, SKP2, PIM1, ESPL1, MIIP, CEP152, BCL2L11, VASH1, ESCO2, NCAPD3, NCAPD2, UHRF1, MAD2L1, MAPK6, RCC2, SPAG5, SIAH1A, ZWINT, CNTROB, MAPK7, EIF2AK4, GNAI3, LMNB1, NEK3, GNAI1, NEK2, CHEK1, AFAP1L2, CEP164, MYBL2, VRK1, TRP53BP1, NCAPG2, TRP53BP2, FBXO5, OBSL1, SKA1, TCF3, RECQL4, DNMT3A, MKI67, CREBBP, KLF11, NUF2, CDC23, NDC80, CDC20, PMF1, GAS1, CDC27, SEPT11, CSPP1, SRSF2, NOTCH2, FAM64A, SFRP1, RNF4, WDR62, RNF2, PCNA, TCF19, BMP7, CHAF1B, UTP14B, CLSPN, SPIN1, EZH2, MLH1, ACTR3, CCNE1, FANCM, EVI5, MTBP, TUBB5, TGFA, MASTL, TOP2B, NR2F2, MYC, TOP2A, CDC7, CDC6, ARHGEF2, RBBP4, POGZ, ANP32B, DSN1, GEN1, CCNF, TPX2, MBD4, FLNA, RAD50, RBBP8, RAD51, INHBA, CCND1, DACT1, CCND3, CCND2, FANCD2, RRM1, FOXC1, USP22, LIN9, PML, CETN3, ZFP318, FEM1B, MIF, ZFP36L1, NCAPH, EZR, MDC1, NCAPG, BCL2, BUB1, NPAT, ZWILCH, THBS1, TRIP13, KIFC5B, PDS5B, DLGAP5, NASP, IGF1, FZD3, BIRC5, IGF2, DOT1L, CCNB2, YWHAH, PHF13, SFPQ, ZFP207, KIF20B, PHGDH, CHTF18, NEUROD1, PTCH1, PBX1, RBM14, CIT, KIF20A, STIL, CEP72, SEPT3, SEPT2, SEPT1, PRC1, CTDSPL, DBF4, KNTC1, IQGAP3, SAE1, TGFB2, CSNK2A2, EIF4EBP1, RAD21, MYOCD, GATA6, CDKN2C, STARD9, PMS2, ZFP503, ORC1, ASPM, STK24, DTL, SGOL1, RBL1, DDX39B, PDXP, TOPBP1, TACC3, RNASEH2B, TRIM37, HHEX, TRIM35, MCMBP, STMN1, AKAP8, SEPT6, CCDC8, DSCC1, SEPT9, CEP97, HMGB1, EID1, BLM, TFAP4, TIPIN, SOX4, GIPC1, ANLN, TRRAP, SOX9, CCNG2, SYCP1, SRC, SPC24, SPC25, CENPC1, NPM1, HELLS, ERCC6L, TFDP1, CKAP2, TRP53, GINS1, DIXDC1, PARD6B, WDR6, SUV39H1, HACE1, BRCA2, BRIP1, ATAD5, INSC, TET2, BRCA1, REEP4, FAM178A, CDKN1C, DNA2, PLK4, CDKN1B, PLK2, PLK1, CIRBP, PARD6G, ABL1, MYH10, E2F1, KIF23, KIF22, E2F2, CDC14A, FOXK1, CEP57L1, SLFN9, E2F7, DICER1, E2F8, DSTN, FAM83D, AKT1, CDC42, SPRY2, ACVR1B, KIF2C, CASP3, MCM7, PRMT2, ZFYVE19, PAK4, RANBP1, CDK5RAP2, CASP2, CDK14, KIF14, KHDRBS1, CDK1, KIF11, DDB1, SOX11, NUSAP1, UBE2I, CDK6, MCM2, HMGA2, MCM3, CDK4, UBE2C, MCM4, ECT2, MCM5, CDK2, MCM6, PPM1D, APITD1, LARP7, NSL1, CFL1, KLHL13, BUB1B, HAUS7, MAPRE2, MDM4, CHFR, MELK, WIZ, SMARCAD1, HAUS4, CKS1B, SNX18, HAUS6, 2610002M06RIK, CRLF3, FOXM1, HCFC1, CEP55, BRSK1, TCF7L2, RPA3, RPA2, IGF1R, CEP57, HJURP, CENPA, PPP1R12A, MZT1, GPSM2, CAMK2A, CHD4, TERF2, CHD3, EXO1, TXNIP, CENPN, ERH, CEP192, PSRC1, CENPE, RACGAP1, SMC2, CDC25A, GSG2, SLBP, CENPH, SMC4, ID2, SYDE1, CKS2, CENPW, ID4, CENPT, SNX33, MIS18BP1",1926,1440,17911,2.350728337,2.97E-56,2.97E-56,6.85E-57
GOTERM_BP_FAT,GO:0022402~cell cycle process,288,12.53263708,2.27E-49,"KIFC1, RAD51C, EDN1, AURKA, PTTG1, AURKB, ANKLE1, CDCA8, ATP2B4, DDX11, CTGF, INTS7, INCENP, WDR76, CDCA2, H2AFX, CCNA2, STAG2, CDCA3, STAG1, LIG1, POLE, SKP2, ESPL1, MIIP, CEP152, VASH1, NCAPD3, NCAPD2, MAD2L1, RCC2, SPAG5, SIAH1A, ZWINT, CNTROB, EIF2AK4, LMNB1, NEK3, NEK2, CHEK1, CEP164, MYBL2, VRK1, TRP53BP1, NCAPG2, FBXO5, OBSL1, SKA1, TCF3, RECQL4, MKI67, KLF11, CREBBP, NUF2, CDC23, NDC80, CDC20, PMF1, GAS1, CDC27, CSPP1, SRSF2, NOTCH2, FAM64A, RNF4, WDR62, PCNA, TCF19, BMP7, CLSPN, SPIN1, EZH2, MLH1, ACTR3, CCNE1, FANCM, MTBP, TUBB5, TGFA, MASTL, TOP2B, TOP2A, MYC, CDC7, CDC6, ARHGEF2, POGZ, ANP32B, GEN1, DSN1, CCNF, TPX2, MBD4, FLNA, RAD50, RBBP8, RAD51, INHBA, CCND1, DACT1, CCND2, FANCD2, PML, CETN3, FEM1B, MIF, ZFP36L1, NCAPH, EZR, NCAPG, BCL2, BUB1, NPAT, THBS1, ZWILCH, TRIP13, KIFC5B, PDS5B, IGF1, BIRC5, IGF2, DOT1L, CCNB2, YWHAH, PHF13, SFPQ, ZFP207, KIF20B, PHGDH, CHTF18, NEUROD1, PBX1, RBM14, CIT, KIF20A, STIL, CEP72, SEPT2, PRC1, SEPT1, CTDSPL, DBF4, KNTC1, IQGAP3, TGFB2, CSNK2A2, EIF4EBP1, RAD21, GATA6, CDKN2C, STARD9, PMS2, ZFP503, ORC1, ASPM, DTL, DDX39B, SGOL1, PDXP, TOPBP1, TACC3, RNASEH2B, TRIM37, MCMBP, STMN1, AKAP8, CCDC8, DSCC1, CEP97, BLM, TFAP4, TIPIN, SOX4, GIPC1, ANLN, TRRAP, CCNG2, SYCP1, SPC24, SPC25, CENPC1, NPM1, HELLS, ERCC6L, CKAP2, TRP53, GINS1, WDR6, BRIP1, BRCA2, ATAD5, INSC, REEP4, BRCA1, FAM178A, CDKN1C, DNA2, PLK4, CDKN1B, PLK2, PLK1, CIRBP, MYH10, E2F1, KIF23, KIF22, CDC14A, CEP57L1, E2F7, SLFN9, E2F8, DICER1, DSTN, FAM83D, AKT1, CDC42, ACVR1B, KIF2C, SPRY2, PRMT2, ZFYVE19, RANBP1, CDK5RAP2, CASP2, CDK14, KIF14, CDK1, KIF11, DDB1, SOX11, NUSAP1, UBE2I, HMGA2, CDK4, UBE2C, ECT2, CDK2, PPM1D, APITD1, LARP7, NSL1, CFL1, KLHL13, BUB1B, HAUS7, MAPRE2, MDM4, CHFR, WIZ, SMARCAD1, HAUS4, CKS1B, SNX18, HAUS6, CRLF3, FOXM1, BRSK1, CEP55, TCF7L2, RPA2, IGF1R, CEP57, CENPA, PPP1R12A, MZT1, GPSM2, CAMK2A, CHD4, CHD3, CENPN, CEP192, PSRC1, CENPE, RACGAP1, SMC2, CDC25A, GSG2, SLBP, SMC4, CENPH, ID2, SYDE1, CKS2, CENPW, ID4, CENPT, SNX33, MIS18BP1",1926,1109,17911,2.415040914,1.98E-45,9.91E-46,4.57E-46
GOTERM_BP_FAT,GO:0051301~cell division,163,7.093124456,2.03E-34,"KIFC1, SEPT3, SEPT2, SEPT1, PRC1, PDGFA, KNTC1, AURKA, PTTG1, AURKB, TGFB2, CDCA8, RAD21, HMCN1, INCENP, CDCA2, CCNA2, STAG2, ASPM, STAG1, CDCA3, LIG1, VANGL2, SGOL1, PDXP, NCAPD3, NCAPD2, MAD2L1, RCC2, SPAG5, ZWINT, CNTROB, MCMBP, STMN1, SEPT6, SEPT9, GNAI3, NEK3, BLM, NEK2, GNAI1, TIPIN, CEP164, GIPC1, ANLN, MDK, CCNG2, SYCP1, SPC24, SPC25, VRK1, NCAPG2, CENPC1, FBXO5, SKA1, HELLS, ERCC6L, CKAP2, DIXDC1, PARD6B, NUF2, BRCA2, BRIP1, CDC23, CDC20, NDC80, DOCK7, PMF1, CDC27, REEP4, SEPT11, CSPP1, FAM64A, SFRP2, PLK1, PARD6G, MYH10, KIF23, CDC14A, E2F7, DICER1, E2F8, DSTN, ACTR3, FAM83D, CCNE1, KIF2C, CDC42, ZFYVE19, EVI5, TGFA, MASTL, MYC, TOP2A, CDK14, CDC7, KIF14, CDC6, CDK1, ARHGEF2, KIF11, POGZ, DSN1, CCNF, TPX2, NUSAP1, CDK6, UBE2I, UBE2C, HMGA2, CDK4, ECT2, MCM5, CDK2, RBBP8, CCND1, CCND3, APITD1, CCND2, NSL1, CFL1, KLHL13, BUB1B, MAPRE2, HAUS7, CHFR, HAUS4, CKS1B, SNX18, 2610002M06RIK, CETN3, KIT, CEP55, IGF1R, NCAPH, CENPA, BUB1, PTN, ZWILCH, THBS4, KIFC5B, TXNIP, PDS5B, PSRC1, CENPE, BIRC5, IGF2, RACGAP1, SMC2, CDC25A, SMC4, CCNB2, PHF13, CKS2, ZFP207, KIF20B, CENPW, CENPT, PTCH1, SNX33, MIS18BP1, CIT, KIF20A",1926,554,17911,2.736159377,1.77E-30,3.55E-31,4.09E-31
,,,,,,,,,,,,
Annotation Cluster 2,Enrichment Score: 21.05651196995801,,,,,,,,,,,
Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_CC_FAT,GO:0005694~chromosome,247,10.74847694,2.06E-34,"HMGN1, RAD51C, MEF2A, HMGN3, HMGN2, AURKA, AURKB, REST, WDR82, MAGED1, PRIM1, CDCA8, DDX11, INTS7, INCENP, PRIM2, CDCA2, H2AFZ, RARA, H2AFX, OGT, STAG2, STAG1, H1F0, MCRS1, RCOR2, POLE, ESCO2, NCAPD3, NCAPD2, RFC3, UHRF1, MAD2L1, RCC2, SPAG5, RFC2, ZWINT, JUN, ADD3, TNRC18, NEK2, XIST, CHEK1, MYBL2, TRP53BP1, ACD, SKA1, WDHD1, TCF3, NR1H4, ASXL2, RECQL4, DNMT3A, MKI67, ASXL1, FAM111A, CREBBP, NUF2, NDC80, PMF1, RNF2, PCNA, RBMXL1, H3F3A, H3F3B, PARP1, TCF12, CHAF1B, CLSPN, EZH2, MLH1, DYNLL1, MTBP, TOP2B, TOP2A, HIST3H2BA, MYC, BRD8, RBBP4, POGZ, DSN1, ANP32E, MBD6, MBD4, FLNA, RAD50, RBBP8, RAD51, CCND2, FANCD2, FOXC1, NUP107, SCML2, PML, POLA1, POLA2, POLR2A, NCAPH, NCAPG, MDC1, BUB1, ZWILCH, PDS5B, NUCKS1, ZFP57, NASP, TRIM28, BIRC5, SNAI2, DOT1L, SFPQ, WHSC1L1, ZFP207, CHTF18, SEPT2, KNTC1, CBX3, CBX2, TBP, CBX1, MCM10, CBX6, CBX5, KDM1A, DPY30, RAD21, GATA4, PSIP1, ORC6, ORC1, BEND3, MMS22L, DTL, MTA2, FMR1, SGOL1, ARID1A, TOPBP1, SUZ12, SMARCE1, MCMBP, RAD18, RNF138, AKAP8, SMARCA1, SEPT6, DSCC1, HMGB1, HMGB2, BLM, SETD1B, TIPIN, TRRAP, SYCP1, SPC24, SPC25, VDR, POLE2, CENPC1, RNF169, ASF1B, HELLS, ERCC6L, TRP53, GINS1, EHMT1, SUV39H1, BRCA2, WHSC1, RBMX, BRCA1, CTR9, FAM178A, DNA2, PLK4, HDAC2, HDAC1, PLK2, PLK1, NEDD4, SMARCC1, SALL1, POLD1, POLD2, SMARCC2, DNMT1, CFDP1, RFX3, TMPO, E2F1, KIF22, FIGNL1, DICER1, HLCS, PAWR, SAP30, KIF2C, PCGF2, MCM7, HEY2, LOXL2, CDK1, DDB1, LDB1, NUSAP1, MCM2, HMGA2, MCM3, CDK4, MCM4, MCM5, CDK2, PURB, MCM6, APITD1, NSL1, BUB1B, SMARCAD1, TCF7L2, RPA3, RPA2, HJURP, CENPA, PPP1R12A, CHD4, TERF2, CENPN, CENPL, RAD51AP1, NFRKB, SIRT6, CENPE, FAM60A, SMC2, GSG2, CENPI, FBL, SMC4, CENPH, SP1, ID2, H2AFY2, CENPW, CENPT, ZRANB3, KDM4A, MIS18BP1",1683,978,14413,2.162859802,2.01E-31,2.01E-31,3.25E-31
GOTERM_CC_FAT,GO:0044427~chromosomal part,224,9.747606614,2.48E-32,"HMGN1, RAD51C, MEF2A, HMGN3, HMGN2, AURKA, AURKB, REST, WDR82, PRIM1, MAGED1, CDCA8, DDX11, INCENP, PRIM2, H2AFZ, RARA, H2AFX, OGT, STAG2, STAG1, H1F0, MCRS1, RCOR2, POLE, ESCO2, NCAPD3, NCAPD2, RFC3, UHRF1, MAD2L1, RCC2, SPAG5, RFC2, ZWINT, JUN, TNRC18, NEK2, CHEK1, MYBL2, TRP53BP1, ACD, SKA1, WDHD1, TCF3, NR1H4, ASXL2, DNMT3A, MKI67, ASXL1, FAM111A, CREBBP, NUF2, NDC80, PMF1, RNF2, PCNA, RBMXL1, H3F3A, H3F3B, PARP1, TCF12, CHAF1B, EZH2, MLH1, DYNLL1, MTBP, TOP2B, HIST3H2BA, MYC, BRD8, RBBP4, POGZ, DSN1, ANP32E, MBD6, MBD4, RAD50, FLNA, RAD51, CCND2, FOXC1, NUP107, SCML2, POLA1, PML, POLA2, POLR2A, NCAPH, NCAPG, BUB1, ZWILCH, PDS5B, NUCKS1, ZFP57, NASP, TRIM28, BIRC5, SNAI2, DOT1L, SFPQ, ZFP207, CHTF18, SEPT2, KNTC1, CBX3, CBX2, TBP, CBX1, MCM10, CBX6, CBX5, KDM1A, DPY30, RAD21, GATA4, PSIP1, ORC6, ORC1, BEND3, MMS22L, MTA2, FMR1, SGOL1, ARID1A, SUZ12, SMARCE1, MCMBP, RNF138, RAD18, AKAP8, SEPT6, SMARCA1, DSCC1, HMGB2, BLM, TIPIN, TRRAP, SYCP1, SPC24, VDR, SPC25, POLE2, CENPC1, RNF169, ASF1B, HELLS, ERCC6L, TRP53, GINS1, SUV39H1, BRCA2, RBMX, BRCA1, FAM178A, CTR9, DNA2, HDAC2, HDAC1, PLK2, NEDD4, PLK1, SMARCC1, SALL1, POLD1, POLD2, SMARCC2, DNMT1, CFDP1, RFX3, TMPO, E2F1, KIF22, DICER1, HLCS, PAWR, SAP30, KIF2C, PCGF2, MCM7, HEY2, CDK1, DDB1, LDB1, MCM2, HMGA2, CDK4, MCM3, MCM4, MCM5, CDK2, PURB, MCM6, APITD1, NSL1, BUB1B, SMARCAD1, TCF7L2, RPA3, RPA2, CENPA, HJURP, PPP1R12A, CHD4, TERF2, CENPN, CENPL, RAD51AP1, NFRKB, SIRT6, CENPE, FAM60A, SMC2, CENPI, SMC4, CENPH, SP1, ID2, H2AFY2, CENPW, CENPT, ZRANB3, KDM4A, MIS18BP1",1683,871,14413,2.202419958,2.41E-29,1.21E-29,3.90E-29
GOTERM_CC_FAT,GO:0000228~nuclear chromosome,146,6.35335074,1.54E-19,"RAD51C, MEF2A, CBX3, TBP, AURKA, AURKB, CBX1, WDR82, MCM10, CBX5, PRIM1, KDM1A, RAD21, DDX11, INCENP, PRIM2, GATA4, PSIP1, H2AFZ, ORC6, RARA, H2AFX, ORC1, H1F0, MCRS1, BEND3, MMS22L, MTA2, SGOL1, POLE, TOPBP1, ARID1A, NCAPD3, ESCO2, NCAPD2, SUZ12, UHRF1, SMARCE1, JUN, MCMBP, AKAP8, SMARCA1, ADD3, HMGB2, BLM, NEK2, TIPIN, CHEK1, TRRAP, SYCP1, VDR, TRP53BP1, ACD, POLE2, CENPC1, ASF1B, TCF3, NR1H4, TRP53, ASXL2, GINS1, DNMT3A, CREBBP, ASXL1, SUV39H1, BRCA2, NDC80, RBMX, BRCA1, DNA2, HDAC2, HDAC1, PLK1, SMARCC1, RNF2, POLD1, POLD2, SMARCC2, PCNA, H3F3A, RBMXL1, RFX3, H3F3B, PARP1, CHAF1B, TCF12, E2F1, FIGNL1, EZH2, MLH1, PAWR, SAP30, PCGF2, MCM7, HEY2, HIST3H2BA, MYC, TOP2A, BRD8, CDK1, RBBP4, POGZ, DSN1, DDB1, LDB1, ANP32E, MCM2, HMGA2, MCM3, MCM4, MCM5, PURB, RAD50, MCM6, RAD51, BUB1B, FOXC1, SMARCAD1, SCML2, PML, POLA1, POLA2, TCF7L2, POLR2A, RPA3, RPA2, CENPA, BUB1, TERF2, CHD4, RAD51AP1, NUCKS1, ZFP57, NFRKB, NASP, TRIM28, CENPE, SIRT6, BIRC5, SNAI2, FAM60A, SMC2, SP1, H2AFY2, ZRANB3, MIS18BP1",1683,588,14413,2.126404097,1.50E-16,3.76E-17,2.43E-16
