Annotation Cluster 1,Enrichment Score: 52.93997877967313,,,,,,,,,,,
Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_CC_FAT,GO:0044429~mitochondrial part,323,13.01894397,8.99E-74,"HCCS, MRPL42, TARS2, MRPL41, FASTKD2, LDHD, GCAT, STOML2, GM1818, OGDH, GOT2, BDNF, MRPL37, MRPL38, MRPL39, PDHA1, HIGD1A, MRPL34, APOO, PDPR, ACAA2, MRPL51, OPA1, LYRM7, SUCLG2, SUCLG1, BCL2L13, LETM1, NNT, DLD, ATP5C1, FDX1L, MRPL46, MDH2, PRODH, MPST, HSD17B10, FDX1, CHCHD1, FARS2, CHCHD3, BCL2L1, HSPA1B, CHCHD7, SDHAF2, ACAT1, SFXN5, HADHB, SLC11A2, DUSP18, COX6B1, DIABLO, MRPL55, ALDH4A1, GCDH, LGALS3, PHB, MAOB, CIDEA, DLAT, AFG3L2, VDAC3, LACTB2, VDAC1, PEO1, EPHA4, ADAP2, CHCHD10, MLYCD, COX6A2, ATP5D, GM10250, SLC27A1, ATP5E, COX10, TIMM17A, FASTK, BNIP3, MCCC2, EFHD1, LONP1, DNAJC15, VDAC3-PS1, ATP5S, GPX4, MCCC1, TRMT5, SLC25A3, ATP5L, SYNJ2, ATP5H, ATP5K, ATP5J, MRPL1, NDUFB11, NDUFB10, SLC25A4, NDUFA13, CBR4, DARS2, NDUFA10, NDUFA11, 2010107E04RIK, CYP27A1, PMPCB, TUFM, SORD, HK2, NLRX1, STARD13, MRPL13, MRPL12, ACSL1, CBR2, MRPL15, CKMT2, REXO2, MRPL16, ETFDH, ABCD3, PDHX, ETFB, ACSL6, ABCA12, ETFA, BCKDHA, ECI1, PDK2, COX7A1, IMMT, CS, BCKDHB, MRPL30, SOD1, STAT3, SOD2, SDHA, SDHB, MRPL21, MRPL28, MTFP1, PLN, SDHC, ATP5A1, GM3244, MRPS36, GRPEL2, GRPEL1, NDUFAB1, MIPEP, COX5A, COX5B, PDHB, DMPK, FAHD1, MINOS1, SLC25A20, CISD2, UQCR10, ACSS1, UQCR11, GHITM, CISD1, CPOX, SLC25A22, SLC25A29, TFB2M, OMA1, HMGCL, FECH, TMEM126A, TMEM126B, TIMM8B, CLPX, COX6C, ISCU, SLC25A34, MRPS18A, SLC25A33, CLPP, SLC25A38, PCCB, PCCA, MAVS, MRPS17, ME3, MRPS16, MRPS14, ASS1, GLUD1, MRPS12, COX7B, CLU, COX7C, MUT, MRS2, MTCH2, IVD, TOMM5, GSTK1, ATP5J2, MRPS28, MRPS23, COX8B, AK3, MRPS21, AK4, CRAT, ABCB6, TST, NDUFV3, PPIF, SLC25A12, SLC25A11, USMG5, SLC25A13, AK157302, NDUFV1, NDUFV2, RHOT1, ALDH2, COQ10B, CARS2, RHBDL3, UQCRC2, NDUFAF4, UQCRC1, CPT2, CYC1, 1600014C10RIK, PINK1, TIMM50, UQCRFS1, UQCRQ, NDUFAF3, NDUFS7, NDUFS6, IMMP2L, NDUFS5, ALAS1, NDUFS4, ALAS2, NDUFS8, CAT, NDUFS3, NDUFS2, RTN4IP1, NDUFS1, SUOX, SQRDL, ACADM, CYCS, TMEM70, COQ9, NDUFC1, MRPS7, TIMM23, COQ7, TIMM44, LPIN1, COQ5, IMMP1L, ISCA1, MFN2, ACADVL, COQ3, MFN1, COQ2, ATG4D, MRPS9, PPM1K, UQCRH, PEBP1, NRGN, GPAM, UQCRB, NDUFB3, NDUFB4, NDUFB5, GLRX5, NDUFB6, SAMM50, NDUFB7, NDUFB9, ETHE1, ECHS1, RSAD2, ATP5G1, ATP5G3, SH3GLB1, OXCT1, MLXIP, BDH1, MYOC, SCO1, HSPA9, NDUFA4, RNF144B, ALKBH7, NDUFA5, 2410015M20RIK, NDUFA2, DNM1L, NDUFA3, NDUFA8, NDUFA9, ABCA8B, TMBIM6, NDUFA6, NDUFA7, ABCA8A, ATP5F1, GRSF1, SIRT5, BCS1L, LARS2, NDUFA1, PARK7, DBT, PCX, TSFM, SCP2, MGST1",1946,870,14413,2.749760192,8.80E-71,4.40E-71,1.42E-70
GOTERM_CC_FAT,GO:0005743~mitochondrial inner membrane,186,7.496977025,6.69E-56,"HCCS, GRPEL2, GRPEL1, LDHD, NDUFAB1, GCAT, STOML2, COX5A, COX5B, MINOS1, FAHD1, GOT2, SLC25A20, BDNF, UQCR10, GHITM, UQCR11, CPOX, SLC25A22, SLC25A29, HIGD1A, HMGCL, OMA1, APOO, ACAA2, OPA1, FECH, SUCLG1, TMEM126A, CLPX, TIMM8B, COX6C, LETM1, NNT, SLC25A34, SLC25A33, ATP5C1, SLC25A38, MDH2, PRODH, MPST, HSD17B10, FDX1, GLUD1, COX7B, CHCHD3, COX7C, BCL2L1, ACAT1, SFXN5, HADHB, DUSP18, MRS2, MTCH2, GSTK1, COX6B1, GCDH, ATP5J2, COX8B, LGALS3, PHB, MAOB, MRPS21, CRAT, AFG3L2, VDAC3, ABCB6, VDAC1, TST, SLC25A12, NDUFV3, PPIF, SLC25A11, USMG5, SLC25A13, NDUFV1, NDUFV2, COX6A2, COQ10B, RHBDL3, UQCRC2, ATP5D, GM10250, SLC27A1, ATP5E, UQCRC1, CPT2, TIMM17A, CYC1, PINK1, TIMM50, UQCRFS1, UQCRQ, NDUFAF3, NDUFS7, IMMP2L, EFHD1, NDUFS6, NDUFS5, DNAJC15, NDUFS4, ALAS2, MCCC1, ATP5S, GPX4, NDUFS8, SLC25A3, ATP5L, NDUFS3, NDUFS2, ATP5H, NDUFS1, ATP5K, ATP5J, SQRDL, NDUFB11, NDUFB10, SLC25A4, TMEM70, NDUFA13, COQ9, NDUFC1, TIMM23, NDUFA10, COQ7, TIMM44, COQ5, NDUFA11, ACADVL, IMMP1L, COQ3, 2010107E04RIK, COQ2, CYP27A1, UQCRH, GPAM, PMPCB, UQCRB, NDUFB3, TUFM, NDUFB4, NDUFB5, NDUFB6, SAMM50, NDUFB7, NDUFB9, RSAD2, ATP5G1, ATP5G3, CKMT2, ETFDH, ABCD3, BDH1, MYOC, SCO1, ABCA12, NDUFA4, ECI1, NDUFA5, NDUFA2, 2410015M20RIK, NDUFA3, NDUFA8, COX7A1, IMMT, NDUFA9, NDUFA6, ABCA8B, BCKDHB, ABCA8A, NDUFA7, ATP5F1, SIRT5, BCS1L, NDUFA1, STAT3, PARK7, SOD2, SDHA, SDHB, PCX, MTFP1, SDHC, ATP5A1, GM3244, MGST1",1946,415,14413,3.319528474,6.54E-53,2.18E-53,1.05E-52
GOTERM_CC_FAT,GO:0019866~organelle inner membrane,193,7.779121322,2.34E-51,"HCCS, GRPEL2, GRPEL1, LDHD, NDUFAB1, GCAT, STOML2, COX5A, COX5B, MINOS1, FAHD1, GOT2, SLC25A20, BDNF, UQCR10, GHITM, UQCR11, CPOX, SLC25A22, SLC25A29, HIGD1A, HMGCL, OMA1, APOO, ACAA2, OPA1, FECH, TMEM201, SUCLG1, TMEM126A, CLPX, TIMM8B, COX6C, LETM1, NNT, SLC25A34, SLC25A33, ATP5C1, SLC25A38, MDH2, PRODH, MPST, HSD17B10, FDX1, GLUD1, COX7B, CHCHD3, COX7C, BCL2L1, ACAT1, SFXN5, HADHB, DUSP18, MRS2, MTCH2, GSTK1, COX6B1, ZMPSTE24, RNF13, GCDH, ATP5J2, COX8B, LGALS3, PHB, MAOB, MRPS21, CRAT, AFG3L2, VDAC3, ABCB6, VDAC1, TST, SLC25A12, NDUFV3, PPIF, P2RX5, SLC25A11, P2RX7, USMG5, SLC25A13, P2RX6, NDUFV1, NDUFV2, COX6A2, COQ10B, RHBDL3, UQCRC2, ATP5D, GM10250, SLC27A1, ATP5E, UQCRC1, CPT2, TIMM17A, CYC1, PINK1, TIMM50, UQCRFS1, UQCRQ, NDUFAF3, NDUFS7, IMMP2L, EFHD1, NDUFS6, NDUFS5, DNAJC15, NDUFS4, ALAS2, MCCC1, GPX4, ATP5S, NDUFS8, SLC25A3, ATP5L, NDUFS3, NDUFS2, ATP5H, NDUFS1, ATP5K, ATP5J, SQRDL, NDUFB11, NDUFB10, SLC25A4, TMEM70, NDUFA13, COQ9, NDUFC1, TIMM23, NDUFA10, COQ7, TIMM44, COQ5, NDUFA11, ACADVL, IMMP1L, COQ3, 2010107E04RIK, COQ2, CYP27A1, UQCRH, GPAM, PMPCB, UQCRB, NDUFB3, TUFM, NDUFB4, NDUFB5, NDUFB6, SAMM50, NDUFB7, NDUFB9, RSAD2, ATP5G1, ATP5G3, CKMT2, ETFDH, ABCD3, BDH1, MYOC, SCO1, ABCA12, NDUFA4, ECI1, NDUFA5, NDUFA2, 2410015M20RIK, NDUFA3, NDUFA8, COX7A1, IMMT, NDUFA9, NDUFA6, ABCA8B, BCKDHB, ABCA8A, NDUFA7, SUN2, ATP5F1, SIRT5, BCS1L, NDUFA1, STAT3, PARK7, SOD2, SDHA, SDHB, PCX, MTFP1, SDHC, ATP5A1, GM3244, MGST1",1946,467,14413,3.060920001,2.29E-48,5.73E-49,3.69E-48
GOTERM_CC_FAT,GO:0005740~mitochondrial envelope,237,9.552599758,2.37E-51,"HCCS, LDHD, GCAT, STOML2, OGDH, GOT2, BDNF, HIGD1A, APOO, ACAA2, OPA1, SUCLG1, BCL2L13, LETM1, NNT, ATP5C1, MDH2, PRODH, MPST, HSD17B10, FDX1, CHCHD3, BCL2L1, CHCHD7, ACAT1, SFXN5, HADHB, SLC11A2, DUSP18, COX6B1, DIABLO, GCDH, LGALS3, PHB, MAOB, CIDEA, AFG3L2, VDAC3, VDAC1, EPHA4, ADAP2, CHCHD10, COX6A2, ATP5D, GM10250, SLC27A1, ATP5E, COX10, TIMM17A, BNIP3, EFHD1, DNAJC15, VDAC3-PS1, MCCC1, GPX4, ATP5S, SLC25A3, SYNJ2, ATP5L, ATP5H, ATP5K, ATP5J, NDUFB11, NDUFB10, SLC25A4, NDUFA13, NDUFA10, NDUFA11, 2010107E04RIK, CYP27A1, PMPCB, TUFM, SORD, HK2, NLRX1, STARD13, ACSL1, CKMT2, REXO2, ETFDH, ABCD3, ACSL6, ABCA12, ECI1, COX7A1, IMMT, BCKDHB, SOD1, STAT3, SOD2, SDHA, SDHB, MTFP1, SDHC, PLN, ATP5A1, GM3244, GRPEL2, GRPEL1, NDUFAB1, COX5A, COX5B, DMPK, FAHD1, MINOS1, SLC25A20, CISD2, UQCR10, CISD1, UQCR11, GHITM, CPOX, SLC25A22, SLC25A29, HMGCL, OMA1, FECH, TMEM126A, TMEM126B, TIMM8B, CLPX, COX6C, SLC25A34, SLC25A33, SLC25A38, MAVS, ASS1, GLUD1, CLU, COX7B, COX7C, MRS2, MTCH2, IVD, TOMM5, GSTK1, ATP5J2, COX8B, AK3, MRPS21, CRAT, ABCB6, TST, SLC25A12, NDUFV3, PPIF, SLC25A11, USMG5, SLC25A13, NDUFV1, NDUFV2, RHOT1, COQ10B, RHBDL3, UQCRC2, NDUFAF4, UQCRC1, CPT2, CYC1, 1600014C10RIK, PINK1, TIMM50, UQCRFS1, UQCRQ, NDUFAF3, NDUFS7, IMMP2L, NDUFS6, NDUFS5, NDUFS4, ALAS2, NDUFS8, CAT, NDUFS3, NDUFS2, NDUFS1, RTN4IP1, SUOX, SQRDL, ACADM, CYCS, TMEM70, COQ9, NDUFC1, TIMM23, COQ7, LPIN1, TIMM44, COQ5, IMMP1L, MFN2, ACADVL, COQ3, MFN1, COQ2, UQCRH, PEBP1, NRGN, GPAM, UQCRB, NDUFB3, NDUFB4, NDUFB5, NDUFB6, SAMM50, NDUFB7, NDUFB9, RSAD2, ATP5G1, ATP5G3, SH3GLB1, MLXIP, BDH1, MYOC, SCO1, NDUFA4, RNF144B, NDUFA5, NDUFA2, 2410015M20RIK, NDUFA3, DNM1L, NDUFA8, NDUFA9, NDUFA6, TMBIM6, ABCA8B, ABCA8A, NDUFA7, ATP5F1, SIRT5, BCS1L, NDUFA1, PARK7, PCX, SCP2, MGST1",1946,652,14413,2.692230878,2.32E-48,4.63E-49,3.73E-48
,,,,,,,,,,,,
Annotation Cluster 2,Enrichment Score: 23.716196124937827,,,,,,,,,,,
Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_BP_FAT,GO:0006091~generation of precursor metabolites and energy,122,4.917372027,2.48E-32,"FASTKD2, IL6ST, SNCA, PGAM2, COX5A, OGDH, COX5B, PDHB, UQCR10, BDNF, CISD1, IDH3G, PDHA1, SUCLG2, SUCLG1, LYRM5, MLXIPL, PPP1R3A, PPP1CB, DDIT4, SLC25A33, DLD, MDH2, MDH1, ALDOA, ENPP1, PFKFB2, PHKA1, COX7C, MRAP2, SDHAF2, PPP1R3C, MTCH2, ENTPD5, IDH1, FH1, GPD1, COX8B, EPM2A, IDH3B, BPGM, NR4A3, DLAT, CYB561, IDH3A, PPIF, SLC25A12, HDAC4, P2RX7, CHCHD10, GBE1, SLC25A13, NDUFV1, NDUFV2, COX6A2, ADRA1B, COQ10B, COQ10A, UQCRC2, IER3, ACOX1, PPARA, D2HGDH, UQCRC1, COX10, PHKB, OGDHL, CYC1, BNIP3, PINK1, UQCRQ, NDUFAF2, MTFR1, IMMP2L, NDUFS6, DNAJC15, NDUFS4, GBAS, TRPV4, CAT, SUCLA2, NDUFS1, AKT2, ACADM, ACO2, PFKL, CYCS, COQ9, PFKM, COQ7, NDUFA10, UQCRH, GAA, PMPCB, UGP2, UQCRB, NDUFB3, NDUFB9, SLC37A4, HK2, NR1D1, SORBS1, STK40, PER2, ETFDH, ENO3, GAPDH, NDUFA5, DLST, CS, NDUFA7, PARK7, STAT3, SOD2, KHK, SDHA, SDHB, MPI, GCK, PYGM, SDHC, PYGB",2088,334,17911,3.133305229,2.27E-28,1.14E-28,5.02E-29
GOTERM_BP_FAT,GO:0019637~organophosphate metabolic process,233,9.391374446,1.80E-29,"MOCOS, ADCY4, LDHB, ATP1B1, ADCY1, ADCY7, SNCA, LDHD, PGAM2, STOML2, RORA, AQP1, OGDH, GPCPD1, ATP2B2, PGP, BDNF, APOE, OASL2, NT5C3, PDHA1, NUDT18, NUDT12, NCF1, SUCLG1, TTC7B, PLD4, TMEM150A, SSTR4, CRHR2, NNT, DLD, HSD11B1, ATP5C1, MDH2, MDH1, ENPP5, ALDOA, ENPP1, ENPP2, FDX1, PFKFB2, OAS2, SDHAF2, ACAT1, GPD1L, SERINC1, IDH1, DCAKD, GPD1, MOCS2, SPHK2, DLAT, CHCHD10, COX6A2, PLA2G4E, ATP5D, GM10250, SLC27A1, PPARA, ATP5E, PPARD, PTEN, MCCC2, DNAJC15, NOD2, SMPDL3A, FITM1, FITM2, ATP5S, GBAS, SYNJ2, ATP5L, ATP5H, AGPAT3, NT5E, AGPAT2, ATP5K, IP6K3, ATP5J, PGAP2, LPGAT1, INPPL1, NDUFA10, CKM, ADK, NPPA, PMPCB, PLA2G5, ABHD6, ABHD5, HK2, CXCL9, PFAS, GPHN, CBR2, FMO1, FMO2, PLA2G12A, CKMT2, RPIA, PAPSS2, PDHX, ACSL6, PLA2G16, PLA2G15, PLEK, ATP1A2, STAT3, SDHA, KHK, ADCY9, SDHC, GFPT2, ATP5A1, ATP6V0A2, WFS1, ITPKB, COX5A, PNP, COX5B, PDHB, UQCR10, IDH3G, PDE4A, NMNAT3, NUDT4, PIGYL, MLXIPL, PDE4C, FBP2, CECR5, CHPT1, DDIT4, PNPLA8, RFK, SLC25A33, AKAP6, NMNAT1, ME1, WNT5A, FGFR3, NT5C1A, ADCYAP1R1, COX7C, ABCA1, ATP6V1B2, MRAP2, RRM2B, G6PC3, MTCH2, P2RY1, ENTPD5, PCYT1A, ENTPD4, CSF1R, ATP5J2, COX8B, AK3, IDH3B, BPGM, AK4, IDH3A, PPIF, HDAC4, P2RX7, PDE7B, SLC25A13, PDE7A, NDUFV2, FABP3, GUK1, DCXR, UQCRC2, IER3, NAMPT, UQCRC1, CYC1, PIP5K1B, PPIP5K1, PINK1, UQCRQ, NDUFS6, ACOT7, PIGG, PDE8A, ABHD12, PCYT2, NDUFS1, PFKL, CYCS, COQ9, PFKM, COQ7, PIGO, PANK4, ADRB2, UQCRH, INPP4B, GPAM, PTAFR, UGP2, UQCRB, NDUFB9, PF4, EGLN1, ATP5G1, ATP5G3, MTM1, NUDT9, INPP5J, SH3GLB1, NUDT7, ENO3, UCK2, GAPDH, HSPA8, INPP5A, PIK3R1, DLST, FLT1, TNXB, DNM1L, NDUFA7, ATP5F1, PARK2, AMPD3, PARK7, PCX, MPI, GCK, PROCA1, SMPD1",2088,957,17911,2.088494437,1.65E-25,2.06E-26,3.64E-26
